research_field,response
Transportation Engineering,"[
{
""topic_words"": [""traffic"", ""flow"", ""signals"", ""optimization"", ""control""],
""topic_label"": ""Traffic Flow Optimization""
},
{
""topic_words"": [""highway"", ""pavement"", ""design"", ""maintenance"", ""infrastructure""],
""topic_label"": ""Highway Pavement Engineering""
},
{
""topic_words"": [""safety"", ""crash"", ""risk"", ""analysis"", ""collision""],
""topic_label"": ""Transportation Safety Analysis""
},
{
""topic_words"": [""planning"", ""demand"", ""forecasting"", ""modeling"", ""mobility""],
""topic_label"": ""Transportation Planning and Demand""
},
{
""topic_words"": [""rail"", ""track"", ""freight"", ""transit"", ""system""],
""topic_label"": ""Rail and Transit Systems""
},
{
""topic_words"": [""intelligent"", ""systems"", ""connected"", ""data"", ""sensor""],
""topic_label"": ""Intelligent Transportation Systems""
},
{
""topic_words"": [""geometric"", ""alignment"", ""cross-section"", ""curves"", ""sight""],
""topic_label"": ""Geometric Road Design""
}
]"
Other Civil and Environmental Engineering,"[
{
""topic_words"": [""geophysics"", ""mechanics"", ""energy"", ""geomechanics"", ""subsurface""],
""topic_label"": ""Geomechanics and Energy""
},
{
""topic_words"": [""systems"", ""resilience"", ""risk"", ""infrastructure"", ""mitigation""],
""topic_label"": ""Risk and Resilient Systems""
},
{
""topic_words"": [""computation"", ""algorithms"", ""modeling"", ""simulations"", ""mechanics""],
""topic_label"": ""Computational Mechanics & Modeling""
},
{
""topic_words"": [""health"", ""exposure"", ""pollutants"", ""epidemiology"", ""toxicology""],
""topic_label"": ""Environmental Health Exposure""
},
{
""topic_words"": [""sustainability"", ""metrics"", ""assessment"", ""life-cycle"", ""green""],
""topic_label"": ""Sustainable Engineering Metrics""
},
{
""topic_words"": [""urban"", ""smart"", ""sensing"", ""automation"", ""cities""],
""topic_label"": ""Smart and Future Cities""
},
{
""topic_words"": [""hydrology"", ""dynamics"", ""fluid"", ""transport"", ""modeling""],
""topic_label"": ""Hydrology and Fluid Dynamics""
}
]"
Digital Circuits,"[
{
""topic_words"": [""logic"", ""gates"", ""boolean"", ""algebra"", ""minimization""],
""topic_label"": ""Combinational Logic Design""
},
{
""topic_words"": [""flip-flop"", ""register"", ""counter"", ""state"", ""sequential""],
""topic_label"": ""Sequential Circuit Elements""
},
{
""topic_words"": [""vhdl"", ""verilog"", ""hdl"", ""simulation"", ""synthesis""],
""topic_label"": ""Hardware Description Languages""
},
{
""topic_words"": [""fpga"", ""asic"", ""reconfigurable"", ""design"", ""implementation""],
""topic_label"": ""FPGA and ASIC Design""
},
{
""topic_words"": [""power"", ""dissipation"", ""low-power"", ""leakage"", ""dynamic""],
""topic_label"": ""Low Power Design""
},
{
""topic_words"": [""timing"", ""clock"", ""synchronization"", ""delay"", ""critical""],
""topic_label"": ""Timing Analysis and Clocking""
},
{
""topic_words"": [""mosfet"", ""transistor"", ""inverter"", ""cmos"", ""technology""],
""topic_label"": ""CMOS Circuit Technology""
}
]"
Hardware Systems,"[
{
""topic_words"": [""architecture"", ""processor"", ""cache"", ""cores"", ""pipelining""],
""topic_label"": ""Computer Architecture Design""
},
{
""topic_words"": [""vlsi"", ""logic"", ""design"", ""integration"", ""mosfet""],
""topic_label"": ""VLSI Circuit Design""
},
{
""topic_words"": [""fpga"", ""programmable"", ""reconfigurable"", ""hdl"", ""synthesis""],
""topic_label"": ""FPGA and Programmable Logic""
},
{
""topic_words"": [""verification"", ""testing"", ""fault"", ""simulation"", ""formal""],
""topic_label"": ""Hardware Verification and Testing""
},
{
""topic_words"": [""soc"", ""chip"", ""interconnect"", ""ip"", ""subsystems""],
""topic_label"": ""System-on-Chip Design""
},
{
""topic_words"": [""memory"", ""dram"", ""non-volatile"", ""hierarchy"", ""storage""],
""topic_label"": ""Advanced Memory Systems""
},
{
""topic_words"": [""power"", ""energy"", ""thermal"", ""efficiency"", ""management""],
""topic_label"": ""Low Power Hardware Design""
}
]"
Robotics,"[
{
""topic_words"": [""human"", ""interaction"", ""social"", ""haptics"", ""collaboration""],
""topic_label"": ""Human-Robot Interaction""
},
{
""topic_words"": [""localisation"", ""mapping"", ""slam"", ""navigation"", ""autonomous""],
""topic_label"": ""Simultaneous Localisation & Mapping (SLAM)""
},
{
""topic_words"": [""learning"", ""reinforcement"", ""intelligence"", ""algorithms"", ""control""],
""topic_label"": ""AI and Control Systems""
},
{
""topic_words"": [""manipulation"", ""gripping"", ""exoskeletons"", ""rehabilitation"", ""devices""],
""topic_label"": ""Rehabilitation and Manipulation Robotics""
},
{
""topic_words"": [""vision"", ""perception"", ""image"", ""sensing"", ""tracking""],
""topic_label"": ""Robot Vision and Perception""
},
{
""topic_words"": [""uavs"", ""vehicles"", ""aerospace"", ""undersea"", ""autonomous""],
""topic_label"": ""Autonomous Aerial and Marine Vehicles""
},
{
""topic_words"": [""motion"", ""planning"", ""kinematics"", ""dynamics"", ""trajectory""],
""topic_label"": ""Motion Planning and Dynamics""
}
]"
Other Computer Engineering,"[
{
""topic_words"": [""hardware"", ""software"", ""interaction"", ""co-design"", ""embedded""],
""topic_label"": ""Hardware-Software Co-Design""
},
{
""topic_words"": [""systems"", ""architecture"", ""parallel"", ""dependability"", ""processing""],
""topic_label"": ""Computer Systems Architecture""
},
{
""topic_words"": [""networks"", ""mobile"", ""distributed"", ""computing"", ""communication""],
""topic_label"": ""Distributed Network Computing""
},
{
""topic_words"": [""os"", ""kernel"", ""compilers"", ""virtualization"", ""scheduling""],
""topic_label"": ""Operating Systems & Compilers""
},
{
""topic_words"": [""security"", ""trust"", ""cryptography"", ""reliability"", ""protection""],
""topic_label"": ""Trust and Security Systems""
},
{
""topic_words"": [""robotics"", ""autonomous"", ""intelligent"", ""control"", ""cybernetics""],
""topic_label"": ""Autonomous Robotic Systems""
},
{
""topic_words"": [""data"", ""big"", ""analytics"", ""storage"", ""management""],
""topic_label"": ""Big Data Analytics""
}
]"
Biomedical,"[
{
""topic_words"": [""imaging"", ""mri"", ""ct"", ""ultrasound"", ""diagnosis""],
""topic_label"": ""Medical Imaging Technologies""
},
{
""topic_words"": [""tissue"", ""scaffolds"", ""regeneration"", ""biomaterials"", ""engineering""],
""topic_label"": ""Tissue Engineering and Biomaterials""
},
{
""topic_words"": [""drug"", ""delivery"", ""nanoparticles"", ""therapeutics"", ""targeted""],
""topic_label"": ""Targeted Drug Delivery Systems""
},
{
""topic_words"": [""sensor"", ""wearable"", ""monitoring"", ""physiological"", ""health""],
""topic_label"": ""Wearable Health Monitoring""
},
{
""topic_words"": [""prosthetics"", ""bionics"", ""interface"", ""motor"", ""rehabilitation""],
""topic_label"": ""Prosthetics and Motor Rehabilitation""
},
{
""topic_words"": [""blood"", ""flow"", ""hemodynamics"", ""cardiovascular"", ""circulation""],
""topic_label"": ""Cardiovascular Hemodynamics Analysis""
},
{
""topic_words"": [""modeling"", ""simulation"", ""finite"", ""element"", ""mechanics""],
""topic_label"": ""Computational Biomechanics Modeling""
}
]"
Controls and Control Theory,"[
{
""topic_words"": [""stability"", ""equilibrium"", ""lyapunov"", ""nonlinear"", ""asymptotic""],
""topic_label"": ""Nonlinear System Stability Analysis""
},
{
""topic_words"": [""controller"", ""tuning"", ""pid"", ""feedback"", ""proportional""],
""topic_label"": ""PID Controller Design""
},
{
""topic_words"": [""state"", ""space"", ""controllability"", ""observability"", ""kalman""],
""topic_label"": ""State Space System Modeling""
},
{
""topic_words"": [""robust"", ""uncertainty"", ""h-infinity"", ""design"", ""performance""],
""topic_label"": ""Robust Control Design""
},
{
""topic_words"": [""adaptive"", ""online"", ""parameter"", ""identification"", ""learning""],
""topic_label"": ""Adaptive Control Systems""
},
{
""topic_words"": [""optimal"", ""cost"", ""minimization"", ""dynamic"", ""programming""],
""topic_label"": ""Optimal Control Theory""
},
{
""topic_words"": [""modeling"", ""simulation"", ""system"", ""transfer"", ""function""],
""topic_label"": ""System Modeling and Analysis""
}
]"
Electrical and Electronics,"[
{
""topic_words"": [""semiconductor"", ""transistor"", ""diode"", ""fabrication"", ""circuit""],
""topic_label"": ""Semiconductor Devices and Circuits""
},
{
""topic_words"": [""signal"", ""processing"", ""digital"", ""analog"", ""filter""],
""topic_label"": ""Digital Signal Processing""
},
{
""topic_words"": [""power"", ""system"", ""grid"", ""generation"", ""distribution""],
""topic_label"": ""Electrical Power Systems""
},
{
""topic_words"": [""antenna"", ""wave"", ""electromagnetic"", ""frequency"", ""propagation""],
""topic_label"": ""Electromagnetic Waves and Antennas""
},
{
""topic_words"": [""embedded"", ""microcontroller"", ""programming"", ""hardware"", ""real-time""],
""topic_label"": ""Embedded Systems Design""
},
{
""topic_words"": [""control"", ""system"", ""feedback"", ""stability"", ""automation""],
""topic_label"": ""Control Systems Theory""
},
{
""topic_words"": [""communication"", ""wireless"", ""network"", ""modulation"", ""channel""],
""topic_label"": ""Wireless Communication Networks""
}
]"
Electromagnetics and Photonics,"[
{
""topic_words"": [""antenna"", ""array"", ""design"", ""radiation"", ""gain""],
""topic_label"": ""Antenna Design and Arrays""
},
{
""topic_words"": [""metamaterials"", ""negative"", ""index"", ""cloaking"", ""plasmonics""],
""topic_label"": ""Advanced Metamaterials and Plasmonics""
},
{
""topic_words"": [""fiber"", ""optic"", ""communication"", ""waveguide"", ""dispersion""],
""topic_label"": ""Fiber Optic Communications""
},
{
""topic_words"": [""laser"", ""nonlinear"", ""optics"", ""femtosecond"", ""pulse""],
""topic_label"": ""Nonlinear Laser Physics""
},
{
""topic_words"": [""photonic"", ""crystal"", ""bandgap"", ""microcavity"", ""device""],
""topic_label"": ""Photonic Crystals and Devices""
},
{
""topic_words"": [""electromagnetic"", ""simulation"", ""fourier"", ""finite"", ""difference""],
""topic_label"": ""EM Simulation Techniques""
},
{
""topic_words"": [""radar"", ""scattering"", ""cross"", ""section"", ""detection""],
""topic_label"": ""Radar Systems and Scattering""
}
]"
Electronic Devices and Semiconductor Manufacturing,"[
{
""topic_words"": [""photolithography"", ""exposure"", ""etching"", ""mask"", ""wafer""],
""topic_label"": ""Advanced Lithography Techniques""
},
{
""topic_words"": [""doping"", ""implantation"", ""diffusion"", ""conductivity"", ""transistor""],
""topic_label"": ""Semiconductor Doping and Implantation""
},
{
""topic_words"": [""deposition"", ""thin-film"", ""cvd"", ""ald"", ""pvd""],
""topic_label"": ""Thin Film Deposition Processes""
},
{
""topic_words"": [""silicon"", ""sic"", ""gan"", ""compound"", ""materials""],
""topic_label"": ""Advanced Semiconductor Materials""
},
{
""topic_words"": [""finfet"", ""mosfet"", ""gate"", ""scaling"", ""device""],
""topic_label"": ""Next-Generation Transistor Design""
},
{
""topic_words"": [""packaging"", ""integration"", ""heterogeneous"", ""sip"", ""wafer-level""],
""topic_label"": ""IC Packaging and Heterogeneous Integration""
},
{
""topic_words"": [""contamination"", ""defect"", ""metrology"", ""yield"", ""cleanroom""],
""topic_label"": ""Contamination Control and Yield""
}
]"
Power and Energy,"[
{
""topic_words"": [""solar"", ""photovoltaic"", ""panel"", ""efficiency"", ""grid""],
""topic_label"": ""Solar Energy Systems""
},
{
""topic_words"": [""wind"", ""turbine"", ""farm"", ""offshore"", ""aeroelasticity""],
""topic_label"": ""Wind Power Generation""
},
{
""topic_words"": [""battery"", ""storage"", ""lithium"", ""electrochemical"", ""capacity""],
""topic_label"": ""Energy Storage Technology""
},
{
""topic_words"": [""smart"", ""grid"", ""distribution"", ""cybersecurity"", ""control""],
""topic_label"": ""Smart Grid Infrastructure""
},
{
""topic_words"": [""nuclear"", ""fusion"", ""fission"", ""reactor"", ""safety""],
""topic_label"": ""Nuclear Energy Research""
},
{
""topic_words"": [""fuel"", ""cell"", ""hydrogen"", ""electrolysis"", ""proton""],
""topic_label"": ""Hydrogen Fuel Cells""
},
{
""topic_words"": [""demand"", ""response"", ""management"", ""load"", ""optimization""],
""topic_label"": ""Energy Demand Management""
}
]"
"VLSI and Circuits, Embedded and Hardware Systems","[
{
""topic_words"": [""power"", ""leakage"", ""dynamic"", ""optimization"", ""efficiency""],
""topic_label"": ""Low Power VLSI Design""
},
{
""topic_words"": [""verilog"", ""vhdl"", ""rtl"", ""synthesis"", ""timing""],
""topic_label"": ""Hardware Description Language Design""
},
{
""topic_words"": [""microcontroller"", ""firmware"", ""rtos"", ""hardware"", ""realtime""],
""topic_label"": ""Embedded Real-Time Systems""
},
{
""topic_words"": [""test"", ""fault"", ""design-for-test"", ""bist"", ""verification""],
""topic_label"": ""VLSI Testing and Verification""
},
{
""topic_words"": [""fpga"", ""programmable"", ""reconfigurable"", ""logic"", ""array""],
""topic_label"": ""FPGA and Programmable Logic""
},
{
""topic_words"": [""iot"", ""sensor"", ""network"", ""edge"", ""wireless""],
""topic_label"": ""Embedded IoT and Sensing""
},
{
""topic_words"": [""layout"", ""placement"", ""routing"", ""design-rule"", ""mask""],
""topic_label"": ""VLSI Physical Design""
}
]"
Other Electrical and Computer Engineering,"[
{
""topic_words"": [""sensor"", ""network"", ""internet"", ""things"", ""data""],
""topic_label"": ""IoT Sensor Networks""
},
{
""topic_words"": [""embedded"", ""processor"", ""microcontroller"", ""firmware"", ""real-time""],
""topic_label"": ""Embedded Systems Design""
},
{
""topic_words"": [""quantum"", ""computation"", ""photon"", ""qubit"", ""information""],
""topic_label"": ""Quantum Information Science""
},
{
""topic_words"": [""electromagnetics"", ""wave"", ""antenna"", ""radio"", ""frequency""],
""topic_label"": ""Applied Electromagnetics & RF""
},
{
""topic_words"": [""cyber"", ""physical"", ""system"", ""control"", ""security""],
""topic_label"": ""Cyberphysical Systems Security""
},
{
""topic_words"": [""mems"", ""microsystem"", ""fabrication"", ""actuator"", ""device""],
""topic_label"": ""MEMS and Microsystems""
},
{
""topic_words"": [""trust"", ""reliability"", ""secure"", ""verification"", ""assurance""],
""topic_label"": ""Trust and System Reliability""
}
]"
Dynamics and Dynamical Systems,"[
{
""topic_words"": [""chaos"", ""sensitivity"", ""attractor"", ""butterfly"", ""lorenz""],
""topic_label"": ""Theory of Chaos""
},
{
""topic_words"": [""bifurcation"", ""stability"", ""parameter"", ""fixed"", ""equilibria""],
""topic_label"": ""Stability and Bifurcation Analysis""
},
{
""topic_words"": [""nonlinear"", ""systems"", ""control"", ""perturbation"", ""complex""],
""topic_label"": ""Nonlinear Systems and Control""
},
{
""topic_words"": [""map"", ""discrete"", ""iterated"", ""time"", ""recurrence""],
""topic_label"": ""Discrete Dynamical Systems""
},
{
""topic_words"": [""pde"", ""reaction"", ""diffusion"", ""spatial"", ""patterns""],
""topic_label"": ""Spatial-Temporal Dynamics""
},
{
""topic_words"": [""delay"", ""differential"", ""memory"", ""functional"", ""time-lag""],
""topic_label"": ""Delay Differential Equations""
},
{
""topic_words"": [""topological"", ""conjugacy"", ""invariants"", ""entropy"", ""symbolic""],
""topic_label"": ""Topological Dynamics""
}
]"
Engineering Mechanics,"[
{
""topic_words"": [""force"", ""equilibrium"", ""statics"", ""rigid-body"", ""non-moving""],
""topic_label"": ""Statics of Rigid Bodies""
},
{
""topic_words"": [""motion"", ""kinematics"", ""kinetics"", ""velocity"", ""acceleration""],
""topic_label"": ""Dynamics and Motion Analysis""
},
{
""topic_words"": [""stress"", ""strain"", ""deformation"", ""material"", ""structural""],
""topic_label"": ""Stress and Strain Analysis""
},
{
""topic_words"": [""finite"", ""element"", ""modeling"", ""simulation"", ""computational""],
""topic_label"": ""Finite Element Analysis""
},
{
""topic_words"": [""fluid"", ""flow"", ""dynamics"", ""pressure"", ""viscosity""],
""topic_label"": ""Fluid Mechanics and Dynamics""
},
{
""topic_words"": [""vibration"", ""oscillation"", ""resonance"", ""frequency"", ""damping""],
""topic_label"": ""Vibration and Dynamics""
},
{
""topic_words"": [""failure"", ""fracture"", ""fatigue"", ""integrity"", ""mechanisms""],
""topic_label"": ""Mechanical Failure Analysis""
}
]"
